Type,Combination,Tables,Join Conditions
2,1,"MONDIAL_GEO_MOUNTAIN, MONDIAL_MOUNTAIN, MONDIAL_MOUNTAINONISLAND",MONDIAL_GEO_MOUNTAIN.['MONDIAL_GEO_MOUNTAIN.MOUNTAIN=MONDIAL_MOUNTAIN.NAME']; MONDIAL_MOUNTAINONISLAND.['MONDIAL_MOUNTAINONISLAND.MOUNTAIN=MONDIAL_MOUNTAIN.NAME']
2,2,"MONDIAL_GEO_SEA, MONDIAL_MERGESWITH, MONDIAL_SEA",MONDIAL_GEO_SEA.['MONDIAL_GEO_SEA.SEA=MONDIAL_SEA.NAME']; MONDIAL_MERGESWITH.['MONDIAL_MERGESWITH.SEA1=MONDIAL_SEA.NAME']
2,3,"MONDIAL_AIRPORT, MONDIAL_CITY, MONDIAL_CITYOTHERNAME","MONDIAL_AIRPORT.['MONDIAL_CITY.NAME=MONDIAL_AIRPORT.CITY', 'MONDIAL_CITY.COUNTRY=MONDIAL_AIRPORT.COUNTRY', 'MONDIAL_CITY.PROVINCE=MONDIAL_AIRPORT.PROVINCE']; MONDIAL_CITYOTHERNAME.['MONDIAL_CITYOTHERNAME.CITY=MONDIAL_CITY.NAME', 'MONDIAL_CITYOTHERNAME.COUNTRY=MONDIAL_CITY.COUNTRY', 'MONDIAL_CITYOTHERNAME.PROVINCE=MONDIAL_CITY.PROVINCE']"
2,4,"MONDIAL_PROVINCE, MONDIAL_PROVINCEOTHERNAME, MONDIAL_PROVPOPS","MONDIAL_PROVINCEOTHERNAME.['MONDIAL_PROVINCEOTHERNAME.COUNTRY=MONDIAL_PROVINCE.COUNTRY', 'MONDIAL_PROVINCEOTHERNAME.PROVINCE=MONDIAL_PROVINCE.NAME']; MONDIAL_PROVPOPS.['MONDIAL_PROVPOPS.COUNTRY=MONDIAL_PROVINCE.COUNTRY', 'MONDIAL_PROVPOPS.PROVINCE=MONDIAL_PROVINCE.NAME']"
2,5,"MONDIAL_GEO_ESTUARY, MONDIAL_GEO_RIVER, MONDIAL_RIVER",MONDIAL_GEO_ESTUARY.['MONDIAL_GEO_ESTUARY.RIVER=MONDIAL_RIVER.NAME']; MONDIAL_GEO_RIVER.['MONDIAL_GEO_RIVER.RIVER=MONDIAL_RIVER.NAME']
2,6,"MONDIAL_GEO_ISLAND, MONDIAL_ISLAND, MONDIAL_MOUNTAINONISLAND",MONDIAL_GEO_ISLAND.['MONDIAL_GEO_ISLAND.ISLAND=MONDIAL_ISLAND.NAME']; MONDIAL_MOUNTAINONISLAND.['MONDIAL_MOUNTAINONISLAND.ISLAND=MONDIAL_ISLAND.NAME']
2,7,"MONDIAL_GEO_LAKE, MONDIAL_ISLANDIN, MONDIAL_LAKE",MONDIAL_GEO_LAKE.['MONDIAL_GEO_LAKE.LAKE=MONDIAL_LAKE.NAME']; MONDIAL_ISLANDIN.['MONDIAL_ISLANDIN.LAKE=MONDIAL_LAKE.NAME']
2,8,"MONDIAL_DESERT, MONDIAL_GEO_DESERT, MONDIAL_PROVINCE","MONDIAL_GEO_DESERT.['MONDIAL_GEO_DESERT.DESERT=MONDIAL_DESERT.NAME']; MONDIAL_GEO_DESERT.['MONDIAL_GEO_DESERT.COUNTRY=MONDIAL_PROVINCE.COUNTRY', 'MONDIAL_GEO_DESERT.PROVINCE=MONDIAL_PROVINCE.NAME']"
2,9,"MONDIAL_LAKE, MONDIAL_LOCATED, MONDIAL_RIVERTHROUGH",MONDIAL_RIVERTHROUGH.['MONDIAL_RIVERTHROUGH.LAKE=MONDIAL_LAKE.NAME']; MONDIAL_LOCATED.['MONDIAL_LOCATED.LAKE=MONDIAL_LAKE.NAME']
2,10,"MONDIAL_MERGESWITH, MONDIAL_SEA",MONDIAL_MERGESWITH.['MONDIAL_MERGESWITH.SEA1=MONDIAL_SEA.NAME']; MONDIAL_MERGESWITH.['MONDIAL_MERGESWITH.SEA2=MONDIAL_SEA.NAME']
2,11,"MONDIAL_GEO_LAKE, MONDIAL_LAKE, MONDIAL_RIVERTHROUGH",MONDIAL_GEO_LAKE.['MONDIAL_GEO_LAKE.LAKE=MONDIAL_LAKE.NAME']; MONDIAL_RIVERTHROUGH.['MONDIAL_RIVERTHROUGH.LAKE=MONDIAL_LAKE.NAME']
2,12,"MONDIAL_ISLAND, MONDIAL_MOUNTAIN, MONDIAL_MOUNTAINONISLAND",MONDIAL_MOUNTAINONISLAND.['MONDIAL_MOUNTAINONISLAND.MOUNTAIN=MONDIAL_MOUNTAIN.NAME']; MONDIAL_MOUNTAINONISLAND.['MONDIAL_MOUNTAINONISLAND.ISLAND=MONDIAL_ISLAND.NAME']
2,13,"MONDIAL_GEO_SOURCE, MONDIAL_LOCATED, MONDIAL_RIVER",MONDIAL_GEO_SOURCE.['MONDIAL_GEO_SOURCE.RIVER=MONDIAL_RIVER.NAME']; MONDIAL_LOCATED.['MONDIAL_LOCATED.RIVER=MONDIAL_RIVER.NAME']
2,14,"MONDIAL_GEO_LAKE, MONDIAL_LAKE, MONDIAL_LOCATED",MONDIAL_GEO_LAKE.['MONDIAL_GEO_LAKE.LAKE=MONDIAL_LAKE.NAME']; MONDIAL_LOCATED.['MONDIAL_LOCATED.LAKE=MONDIAL_LAKE.NAME']
2,15,"MONDIAL_GEO_ESTUARY, MONDIAL_GEO_SOURCE, MONDIAL_RIVER",MONDIAL_GEO_ESTUARY.['MONDIAL_GEO_ESTUARY.RIVER=MONDIAL_RIVER.NAME']; MONDIAL_GEO_SOURCE.['MONDIAL_GEO_SOURCE.RIVER=MONDIAL_RIVER.NAME']
2,16,"MONDIAL_GEO_DESERT, MONDIAL_PROVINCE, MONDIAL_PROVINCEOTHERNAME","MONDIAL_PROVINCEOTHERNAME.['MONDIAL_PROVINCEOTHERNAME.COUNTRY=MONDIAL_PROVINCE.COUNTRY', 'MONDIAL_PROVINCEOTHERNAME.PROVINCE=MONDIAL_PROVINCE.NAME']; MONDIAL_GEO_DESERT.['MONDIAL_GEO_DESERT.COUNTRY=MONDIAL_PROVINCE.COUNTRY', 'MONDIAL_GEO_DESERT.PROVINCE=MONDIAL_PROVINCE.NAME']"
2,17,"MONDIAL_GEO_RIVER, MONDIAL_RIVER, MONDIAL_RIVERTHROUGH",MONDIAL_GEO_RIVER.['MONDIAL_GEO_RIVER.RIVER=MONDIAL_RIVER.NAME']; MONDIAL_RIVERTHROUGH.['MONDIAL_RIVERTHROUGH.RIVER=MONDIAL_RIVER.NAME']
3,1,"MONDIAL_CITY, MONDIAL_ISMEMBER, MONDIAL_LOCATEDON, MONDIAL_ORGANIZATION","MONDIAL_LOCATEDON.['MONDIAL_LOCATEDON.CITY=MONDIAL_CITY.NAME', 'MONDIAL_LOCATEDON.COUNTRY=MONDIAL_CITY.COUNTRY', 'MONDIAL_LOCATEDON.PROVINCE=MONDIAL_CITY.PROVINCE']; MONDIAL_ORGANIZATION.['MONDIAL_ORGANIZATION.CITY=MONDIAL_CITY.NAME', 'MONDIAL_ORGANIZATION.COUNTRY=MONDIAL_CITY.COUNTRY', 'MONDIAL_ORGANIZATION.PROVINCE=MONDIAL_CITY.PROVINCE']; MONDIAL_ISMEMBER.['MONDIAL_ISMEMBER.ORGANIZATION=MONDIAL_ORGANIZATION.ABBREVIATION']"
3,2,"MONDIAL_GEO_RIVER, MONDIAL_GEO_SOURCE, MONDIAL_RIVER, MONDIAL_RIVERTHROUGH",MONDIAL_GEO_RIVER.['MONDIAL_GEO_RIVER.RIVER=MONDIAL_RIVER.NAME']; MONDIAL_GEO_SOURCE.['MONDIAL_GEO_SOURCE.RIVER=MONDIAL_RIVER.NAME']; MONDIAL_RIVERTHROUGH.['MONDIAL_RIVERTHROUGH.RIVER=MONDIAL_RIVER.NAME']
3,3,"MONDIAL_CONTINENT, MONDIAL_COUNTRY, MONDIAL_ENCOMPASSES, MONDIAL_RELIGION",MONDIAL_ENCOMPASSES.['MONDIAL_ENCOMPASSES.COUNTRY=MONDIAL_COUNTRY.CODE']; MONDIAL_ENCOMPASSES.['MONDIAL_ENCOMPASSES.CONTINENT=MONDIAL_CONTINENT.NAME']; MONDIAL_RELIGION.['MONDIAL_RELIGION.COUNTRY=MONDIAL_COUNTRY.CODE']
3,4,"MONDIAL_GEO_DESERT, MONDIAL_PROVINCE, MONDIAL_PROVINCEOTHERNAME, MONDIAL_PROVPOPS","MONDIAL_PROVINCEOTHERNAME.['MONDIAL_PROVINCEOTHERNAME.COUNTRY=MONDIAL_PROVINCE.COUNTRY', 'MONDIAL_PROVINCEOTHERNAME.PROVINCE=MONDIAL_PROVINCE.NAME']; MONDIAL_PROVPOPS.['MONDIAL_PROVPOPS.COUNTRY=MONDIAL_PROVINCE.COUNTRY', 'MONDIAL_PROVPOPS.PROVINCE=MONDIAL_PROVINCE.NAME']; MONDIAL_GEO_DESERT.['MONDIAL_GEO_DESERT.COUNTRY=MONDIAL_PROVINCE.COUNTRY', 'MONDIAL_GEO_DESERT.PROVINCE=MONDIAL_PROVINCE.NAME']"
3,5,"MONDIAL_GEO_ISLAND, MONDIAL_ISLAND, MONDIAL_MOUNTAIN, MONDIAL_MOUNTAINONISLAND",MONDIAL_GEO_ISLAND.['MONDIAL_GEO_ISLAND.ISLAND=MONDIAL_ISLAND.NAME']; MONDIAL_MOUNTAINONISLAND.['MONDIAL_MOUNTAINONISLAND.MOUNTAIN=MONDIAL_MOUNTAIN.NAME']; MONDIAL_MOUNTAINONISLAND.['MONDIAL_MOUNTAINONISLAND.ISLAND=MONDIAL_ISLAND.NAME']
3,6,"MONDIAL_GEO_LAKE, MONDIAL_ISLANDIN, MONDIAL_LAKE, MONDIAL_SEA",MONDIAL_GEO_LAKE.['MONDIAL_GEO_LAKE.LAKE=MONDIAL_LAKE.NAME']; MONDIAL_ISLANDIN.['MONDIAL_ISLANDIN.SEA=MONDIAL_SEA.NAME']; MONDIAL_ISLANDIN.['MONDIAL_ISLANDIN.LAKE=MONDIAL_LAKE.NAME']
3,7,"MONDIAL_AIRPORT, MONDIAL_CITY, MONDIAL_CITYOTHERNAME, MONDIAL_CITYPOPS","MONDIAL_AIRPORT.['MONDIAL_CITY.NAME=MONDIAL_AIRPORT.CITY', 'MONDIAL_CITY.COUNTRY=MONDIAL_AIRPORT.COUNTRY', 'MONDIAL_CITY.PROVINCE=MONDIAL_AIRPORT.PROVINCE']; MONDIAL_CITYOTHERNAME.['MONDIAL_CITYOTHERNAME.CITY=MONDIAL_CITY.NAME', 'MONDIAL_CITYOTHERNAME.COUNTRY=MONDIAL_CITY.COUNTRY', 'MONDIAL_CITYOTHERNAME.PROVINCE=MONDIAL_CITY.PROVINCE']; MONDIAL_CITYPOPS.['MONDIAL_CITYPOPS.CITY=MONDIAL_CITY.NAME', 'MONDIAL_CITYPOPS.COUNTRY=MONDIAL_CITY.COUNTRY', 'MONDIAL_CITYPOPS.PROVINCE=MONDIAL_CITY.PROVINCE']"
3,8,"MONDIAL_GEO_SEA, MONDIAL_LOCATED, MONDIAL_MERGESWITH, MONDIAL_SEA",MONDIAL_GEO_SEA.['MONDIAL_GEO_SEA.SEA=MONDIAL_SEA.NAME']; MONDIAL_LOCATED.['MONDIAL_LOCATED.SEA=MONDIAL_SEA.NAME']; MONDIAL_MERGESWITH.['MONDIAL_MERGESWITH.SEA1=MONDIAL_SEA.NAME']
3,9,"MONDIAL_CITY, MONDIAL_CITYPOPS, MONDIAL_LOCATEDON, MONDIAL_ORGANIZATION","MONDIAL_CITYPOPS.['MONDIAL_CITYPOPS.CITY=MONDIAL_CITY.NAME', 'MONDIAL_CITYPOPS.COUNTRY=MONDIAL_CITY.COUNTRY', 'MONDIAL_CITYPOPS.PROVINCE=MONDIAL_CITY.PROVINCE']; MONDIAL_LOCATEDON.['MONDIAL_LOCATEDON.CITY=MONDIAL_CITY.NAME', 'MONDIAL_LOCATEDON.COUNTRY=MONDIAL_CITY.COUNTRY', 'MONDIAL_LOCATEDON.PROVINCE=MONDIAL_CITY.PROVINCE']; MONDIAL_ORGANIZATION.['MONDIAL_ORGANIZATION.CITY=MONDIAL_CITY.NAME', 'MONDIAL_ORGANIZATION.COUNTRY=MONDIAL_CITY.COUNTRY', 'MONDIAL_ORGANIZATION.PROVINCE=MONDIAL_CITY.PROVINCE']"
3,10,"MONDIAL_DESERT, MONDIAL_GEO_DESERT, MONDIAL_PROVINCE, MONDIAL_PROVINCEOTHERNAME","MONDIAL_PROVINCEOTHERNAME.['MONDIAL_PROVINCEOTHERNAME.COUNTRY=MONDIAL_PROVINCE.COUNTRY', 'MONDIAL_PROVINCEOTHERNAME.PROVINCE=MONDIAL_PROVINCE.NAME']; MONDIAL_GEO_DESERT.['MONDIAL_GEO_DESERT.DESERT=MONDIAL_DESERT.NAME']; MONDIAL_GEO_DESERT.['MONDIAL_GEO_DESERT.COUNTRY=MONDIAL_PROVINCE.COUNTRY', 'MONDIAL_GEO_DESERT.PROVINCE=MONDIAL_PROVINCE.NAME']"
3,11,"MONDIAL_BORDERS, MONDIAL_COUNTRY, MONDIAL_COUNTRYPOPS",MONDIAL_BORDERS.['MONDIAL_COUNTRY.CODE=MONDIAL_BORDERS.COUNTRY1']; MONDIAL_BORDERS.['MONDIAL_COUNTRY.CODE=MONDIAL_BORDERS.COUNTRY2']; MONDIAL_COUNTRYPOPS.['MONDIAL_COUNTRYPOPS.COUNTRY=MONDIAL_COUNTRY.CODE']
3,12,"MONDIAL_ISLANDIN, MONDIAL_MERGESWITH, MONDIAL_SEA",MONDIAL_ISLANDIN.['MONDIAL_ISLANDIN.SEA=MONDIAL_SEA.NAME']; MONDIAL_MERGESWITH.['MONDIAL_MERGESWITH.SEA1=MONDIAL_SEA.NAME']; MONDIAL_MERGESWITH.['MONDIAL_MERGESWITH.SEA2=MONDIAL_SEA.NAME']
